Date,Open,High,Low,Close*,Adj Close**,Volume
9/13/2023,"19,989.50","20,096.90","19,944.10","20070.00","20,070.00",-
9/12/2023,"20,110.15","20,110.35","19,914.65","19993.20","19,993.20","328,100"
9/11/2023,"19,890.00","20,008.15","19,865.35","19996.35","19,996.35","248,800"
9/8/2023,"19,774.80","19,867.15","19,727.05","19819.95","19,819.95","288,100"
9/7/2023,"19,598.65","19,737.00","19,550.05","19727.05","19,727.05","304,900"
9/6/2023,"19,581.20","19,636.45","19,491.50","19611.05","19,611.05","287,600"
9/5/2023,"19,564.65","19,587.05","19,525.75","19574.90","19,574.90","256,800"
9/4/2023,"19,525.05","19,545.15","19,432.85","19528.80","19,528.80","296,800"
9/1/2023,"19,258.15","19,458.55","19,255.70","19435.30","19,435.30","333,000"
8/31/2023,"19,375.55","19,388.20","19,223.65","19253.80","19,253.80","562,600"
8/30/2023,"19,433.45","19,452.80","19,334.75","19347.45","19,347.45","233,000"
8/29/2023,"19,374.85","19,377.90","19,309.10","19342.65","19,342.65","307,400"
8/28/2023,"19,298.35","19,366.85","19,249.70","19306.05","19,306.05","248,200"
8/25/2023,"19,297.40","19,339.55","19,229.70","19265.80","19,265.80","466,500"
8/24/2023,"19,535.15","19,584.45","19,369.00","19386.70","19,386.70","268,300"
8/23/2023,"19,439.20","19,472.05","19,366.60","19444.00","19,444.00","225,200"
8/22/2023,"19,417.10","19,443.50","19,381.30","19396.45","19,396.45","208,700"
8/21/2023,"19,320.65","19,425.95","19,296.30","19393.60","19,393.60","262,600"
